epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.1995,3.94968,3.62251,1.28442,0.00333,0.00694,0.00168,0.00017,2.2781,4.07189,1.42801,0,0,0
2,3.99971,2.78274,3.42387,1.18534,0,0,0,0,2.27587,4.09199,1.42659,1.9802e-05,1.9802e-05,1.9802e-05
3,5.30682,2.83499,3.25423,1.26055,0,0,0,0,2.26387,4.10846,1.4253,3.9208e-05,3.9208e-05,3.9208e-05
4,7.0257,3.74775,3.72812,1.33318,0,0,0,0,2.25809,4.13894,1.4322,5.8218e-05,5.8218e-05,5.8218e-05
5,7.98889,3.20437,3.89877,1.36037,0.06667,0.13889,0.03796,0.01305,2.23976,3.70973,1.3706,7.6832e-05,7.6832e-05,7.6832e-05
6,11.9345,3.95751,2.54332,1.284,0.05,0.10417,0.02789,0.01015,2.23852,3.72417,1.37126,9.505e-05,9.505e-05,9.505e-05
7,13.765,2.57005,2.32597,1.28903,0.31333,0.65278,0.4629,0.16254,2.24197,2.4506,1.27819,0.000112872,0.000112872,0.000112872
8,20.2242,2.09403,1.06993,1.05183,0.85842,0.88889,0.90573,0.35166,2.2151,1.1241,1.25094,0.000130298,0.000130298,0.000130298
9,23.0361,2.04178,1.27691,1.03884,0.86093,0.90276,0.92338,0.35464,2.20102,0.98297,1.26434,0.000147328,0.000147328,0.000147328
10,28.0755,1.79187,0.82101,1.0179,0.77854,0.85448,0.79217,0.26975,2.30389,1.12084,1.31603,0.000163962,0.000163962,0.000163962
11,29.8267,2.09288,1.03732,1.04522,0.75391,0.9375,0.77675,0.30105,2.12263,1.35708,1.23925,0.0001802,0.0001802,0.0001802
12,31.6694,2.2945,0.85713,1.03119,0.79725,0.93056,0.83068,0.34651,2.0515,1.60405,1.19966,0.000196042,0.000196042,0.000196042
13,33.4843,2.00159,0.81764,0.95534,0.81489,0.90278,0.85678,0.31423,2.17927,2.04461,1.25537,0.000211488,0.000211488,0.000211488
14,35.6126,1.8202,0.78486,0.98246,0.75058,0.90278,0.81416,0.27174,2.26594,2.67824,1.28367,0.000226538,0.000226538,0.000226538
15,37.8595,1.77536,0.74398,0.95199,0.68457,0.91667,0.79133,0.27924,2.23435,3.15588,1.25947,0.000241192,0.000241192,0.000241192
16,39.9908,1.74086,0.80321,0.97937,0.66801,0.92361,0.76616,0.31199,2.08481,2.98478,1.18958,0.00025545,0.00025545,0.00025545
17,43.004,1.9337,0.96314,0.91482,0.63827,0.90972,0.73088,0.30904,2.01262,2.77256,1.16995,0.000269312,0.000269312,0.000269312
18,44.7543,1.62979,0.7651,0.97503,0.63827,0.90972,0.73088,0.30904,2.01262,2.77256,1.16995,0.000282778,0.000282778,0.000282778
19,47.2029,1.91447,0.73358,0.92804,0.69458,0.86806,0.73859,0.31827,1.97867,2.24628,1.17857,0.000295848,0.000295848,0.000295848
20,48.8439,4.18647,1.49989,1.16019,0.69458,0.86806,0.73859,0.31827,1.97867,2.24628,1.17857,0.000308522,0.000308522,0.000308522
21,50.6033,3.11094,1.05103,1.00506,0.68711,0.875,0.69733,0.30414,1.93975,1.93479,1.17329,0.0003208,0.0003208,0.0003208
22,52.3494,1.73395,0.77185,0.98746,0.68711,0.875,0.69733,0.30414,1.93975,1.93479,1.17329,0.000332682,0.000332682,0.000332682
23,54.2365,1.6245,0.70996,0.94285,0.64317,0.84028,0.65062,0.28547,1.94706,1.52968,1.17763,0.000344168,0.000344168,0.000344168
24,56.0166,1.57991,0.66675,0.96728,0.64317,0.84028,0.65062,0.28547,1.94706,1.52968,1.17763,0.000355258,0.000355258,0.000355258
25,58.0856,2.11758,0.74161,0.89095,0.60597,0.60417,0.52744,0.20785,2.14882,1.55769,1.22212,0.000365952,0.000365952,0.000365952
26,59.9229,1.80293,0.92089,0.96252,0.60597,0.60417,0.52744,0.20785,2.14882,1.55769,1.22212,0.00037625,0.00037625,0.00037625
27,61.8234,1.74512,0.68859,0.89619,0.74137,0.39814,0.47076,0.16723,2.25561,1.82826,1.26623,0.000386152,0.000386152,0.000386152
28,63.9099,1.70977,0.67063,0.89715,0.74137,0.39814,0.47076,0.16723,2.25561,1.82826,1.26623,0.000395658,0.000395658,0.000395658
29,65.7042,1.58647,0.75352,0.94623,0.51769,0.22222,0.29413,0.10072,2.50177,2.45755,1.39018,0.000404768,0.000404768,0.000404768
30,67.4767,1.86844,0.74606,0.86152,0.51769,0.22222,0.29413,0.10072,2.50177,2.45755,1.39018,0.000413482,0.000413482,0.000413482
31,69.4236,1.65915,0.66901,0.91304,0.17667,0.36806,0.20019,0.06729,2.59049,3.10319,1.42875,0.0004218,0.0004218,0.0004218
32,71.0939,1.52497,0.66793,0.94144,0.17667,0.36806,0.20019,0.06729,2.59049,3.10319,1.42875,0.000429722,0.000429722,0.000429722
33,73.077,1.55688,0.69722,0.97107,0.50735,0.3125,0.38948,0.1491,2.37393,2.13459,1.33096,0.000437248,0.000437248,0.000437248
34,75.3968,2.22325,0.76551,0.89634,0.50735,0.3125,0.38948,0.1491,2.37393,2.13459,1.33096,0.000444378,0.000444378,0.000444378
35,77.2228,1.61131,0.75223,0.9315,0.33,0.6875,0.50217,0.18606,2.44044,1.96707,1.34436,0.000451112,0.000451112,0.000451112
36,78.9324,1.77348,0.70589,0.90775,0.33,0.6875,0.50217,0.18606,2.44044,1.96707,1.34436,0.00045745,0.00045745,0.00045745
37,80.8096,1.89049,0.72459,0.93616,0.51644,0.22222,0.32724,0.10207,2.85051,2.52142,1.50126,0.000463392,0.000463392,0.000463392
38,82.5727,1.53132,0.65915,0.88794,0.51644,0.22222,0.32724,0.10207,2.85051,2.52142,1.50126,0.000468938,0.000468938,0.000468938
39,84.4231,1.65902,0.69278,0.89224,0.58342,0.18056,0.26355,0.0719,3.13022,2.49528,1.60109,0.000474088,0.000474088,0.000474088
40,86.326,2.67459,0.88943,0.87926,0.58342,0.18056,0.26355,0.0719,3.13022,2.49528,1.60109,0.000478842,0.000478842,0.000478842
41,88.2098,2.16062,0.74065,0.89123,0.5248,0.13889,0.2161,0.05297,3.32902,2.51278,1.7061,0.0004832,0.0004832,0.0004832
42,93.3534,1.65007,0.60684,0.86524,0.5248,0.13889,0.2161,0.05297,3.32902,2.51278,1.7061,0.000487162,0.000487162,0.000487162
43,95.4589,1.93285,0.81171,0.97884,0.17667,0.36806,0.21003,0.05332,3.25305,2.46571,1.70468,0.000490728,0.000490728,0.000490728
44,97.33,2.22254,0.97581,1.07444,0.17667,0.36806,0.21003,0.05332,3.25305,2.46571,1.70468,0.000493898,0.000493898,0.000493898
45,99.294,2.10267,0.81315,0.97386,0.26667,0.55556,0.34056,0.10447,2.85756,2.15255,1.5293,0.000496672,0.000496672,0.000496672
46,101.165,1.77987,0.87895,0.85497,0.26667,0.55556,0.34056,0.10447,2.85756,2.15255,1.5293,0.00049905,0.00049905,0.00049905
47,102.921,1.73707,0.83549,1.00437,0.71199,0.69444,0.7539,0.30812,2.21066,1.30507,1.25377,0.000501032,0.000501032,0.000501032
48,104.717,1.58751,0.68294,0.88459,0.71199,0.69444,0.7539,0.30812,2.21066,1.30507,1.25377,0.000502618,0.000502618,0.000502618
49,106.898,1.45077,0.69499,0.87181,0.75593,0.88194,0.8537,0.40335,1.91142,1.65718,1.16594,0.000503808,0.000503808,0.000503808
50,109.895,1.6199,0.68565,0.8468,0.75593,0.88194,0.8537,0.40335,1.91142,1.65718,1.16594,0.000504602,0.000504602,0.000504602
51,113.157,1.58845,0.79641,0.91681,0.70799,0.89239,0.84784,0.39327,1.96482,1.85287,1.19707,0.000505,0.000505,0.000505
52,117.776,1.70674,0.63133,0.90194,0.70799,0.89239,0.84784,0.39327,1.96482,1.85287,1.19707,0.000505002,0.000505002,0.000505002
53,119.631,1.54916,0.66477,0.90873,0.70799,0.89239,0.84784,0.39327,1.96482,1.85287,1.19707,0.000504608,0.000504608,0.000504608
54,121.446,1.49404,0.64441,0.89423,0.70057,0.88889,0.81929,0.36598,2.03653,1.69824,1.22931,0.000503818,0.000503818,0.000503818
55,124.615,1.87212,0.61978,0.86305,0.70057,0.88889,0.81929,0.36598,2.03653,1.69824,1.22931,0.000502632,0.000502632,0.000502632
56,127.954,1.54137,0.6051,0.88468,0.70057,0.88889,0.81929,0.36598,2.03653,1.69824,1.22931,0.00050105,0.00050105,0.00050105
57,129.695,3.53725,0.98734,0.93625,0.71205,0.86806,0.78622,0.34389,2.08963,1.46783,1.24189,0.000499072,0.000499072,0.000499072
58,135.034,1.53799,0.63274,0.90383,0.71205,0.86806,0.78622,0.34389,2.08963,1.46783,1.24189,0.000496698,0.000496698,0.000496698
59,136.794,3.1303,0.91061,0.89693,0.71205,0.86806,0.78622,0.34389,2.08963,1.46783,1.24189,0.000493928,0.000493928,0.000493928
60,138.687,3.23067,0.90813,0.89205,0.67846,0.8125,0.73939,0.30456,2.1365,1.38883,1.24315,0.000490762,0.000490762,0.000490762
61,140.479,2.01218,0.64721,0.83271,0.67846,0.8125,0.73939,0.30456,2.1365,1.38883,1.24315,0.0004872,0.0004872,0.0004872
62,142.437,1.44478,0.65208,0.89849,0.67846,0.8125,0.73939,0.30456,2.1365,1.38883,1.24315,0.000483242,0.000483242,0.000483242
63,144.342,1.51735,0.68852,0.97034,0.61362,0.70833,0.65498,0.27316,2.10861,1.37619,1.20613,0.000478888,0.000478888,0.000478888
64,149.757,1.91157,0.70196,0.81808,0.61362,0.70833,0.65498,0.27316,2.10861,1.37619,1.20613,0.000474138,0.000474138,0.000474138
65,151.714,2.6214,0.75766,0.84569,0.61362,0.70833,0.65498,0.27316,2.10861,1.37619,1.20613,0.000468992,0.000468992,0.000468992
66,155.189,1.57578,0.67632,0.96515,0.59732,0.55627,0.56587,0.23648,2.10532,1.37064,1.19644,0.00046345,0.00046345,0.00046345
67,157.067,1.44293,0.63437,0.91582,0.59732,0.55627,0.56587,0.23648,2.10532,1.37064,1.19644,0.000457512,0.000457512,0.000457512
68,159.312,1.61189,0.70333,0.9217,0.59732,0.55627,0.56587,0.23648,2.10532,1.37064,1.19644,0.000451178,0.000451178,0.000451178
69,161.107,2.02498,0.73676,0.87383,0.64912,0.45833,0.5355,0.22398,2.1293,1.35231,1.20181,0.000444448,0.000444448,0.000444448
70,165.769,1.5194,0.67328,0.9362,0.64912,0.45833,0.5355,0.22398,2.1293,1.35231,1.20181,0.000437322,0.000437322,0.000437322
71,167.645,1.44574,0.62553,0.93042,0.64912,0.45833,0.5355,0.22398,2.1293,1.35231,1.20181,0.0004298,0.0004298,0.0004298
72,169.552,2.3628,0.70667,0.80088,0.68021,0.42839,0.53867,0.2181,2.15788,1.31502,1.20846,0.000421882,0.000421882,0.000421882
73,172.719,1.31633,0.60855,0.92146,0.68021,0.42839,0.53867,0.2181,2.15788,1.31502,1.20846,0.000413568,0.000413568,0.000413568
74,174.484,1.36806,0.61215,0.91504,0.68021,0.42839,0.53867,0.2181,2.15788,1.31502,1.20846,0.000404858,0.000404858,0.000404858
75,176.413,1.3512,0.59684,0.91373,0.57777,0.53217,0.5701,0.21823,2.21847,1.3064,1.22486,0.000395752,0.000395752,0.000395752
76,178.302,1.52992,0.655,0.88029,0.57777,0.53217,0.5701,0.21823,2.21847,1.3064,1.22486,0.00038625,0.00038625,0.00038625
77,180.117,1.38173,0.59648,0.92857,0.57777,0.53217,0.5701,0.21823,2.21847,1.3064,1.22486,0.000376352,0.000376352,0.000376352
78,182.247,1.30313,0.62507,0.88571,0.5958,0.71653,0.6456,0.25049,2.12899,1.29315,1.19185,0.000366058,0.000366058,0.000366058
79,184.045,1.49743,0.66598,0.87709,0.5958,0.71653,0.6456,0.25049,2.12899,1.29315,1.19185,0.000355368,0.000355368,0.000355368
80,185.904,1.8884,0.65844,0.81042,0.5958,0.71653,0.6456,0.25049,2.12899,1.29315,1.19185,0.000344282,0.000344282,0.000344282
81,187.696,1.80572,1.02143,0.95478,0.64321,0.72222,0.69768,0.29316,2.00464,1.19391,1.15274,0.0003328,0.0003328,0.0003328
82,189.703,1.41812,0.60136,0.90227,0.64321,0.72222,0.69768,0.29316,2.00464,1.19391,1.15274,0.000320922,0.000320922,0.000320922
83,191.729,1.56351,0.626,0.84715,0.64321,0.72222,0.69768,0.29316,2.00464,1.19391,1.15274,0.000308648,0.000308648,0.000308648
84,193.545,1.45435,0.6421,0.85527,0.66824,0.74306,0.72017,0.31185,1.97462,1.17556,1.14785,0.000295978,0.000295978,0.000295978
85,195.484,1.75488,0.89011,0.96987,0.66824,0.74306,0.72017,0.31185,1.97462,1.17556,1.14785,0.000282912,0.000282912,0.000282912
86,199.954,1.45656,0.60845,0.87746,0.66824,0.74306,0.72017,0.31185,1.97462,1.17556,1.14785,0.00026945,0.00026945,0.00026945
87,201.737,1.54826,0.5866,0.84579,0.66824,0.74306,0.72017,0.31185,1.97462,1.17556,1.14785,0.000255592,0.000255592,0.000255592
88,203.731,2.71624,0.77901,0.83761,0.74169,0.72222,0.77894,0.34523,1.93341,1.06501,1.14107,0.000241338,0.000241338,0.000241338
89,205.806,1.37627,0.6154,0.92404,0.74169,0.72222,0.77894,0.34523,1.93341,1.06501,1.14107,0.000226688,0.000226688,0.000226688
90,207.652,1.3729,0.56575,0.89892,0.74169,0.72222,0.77894,0.34523,1.93341,1.06501,1.14107,0.000211642,0.000211642,0.000211642
91,210.093,1.34428,0.59549,0.90334,0.74169,0.72222,0.77894,0.34523,1.93341,1.06501,1.14107,0.0001962,0.0001962,0.0001962
92,215.613,1.40762,0.63313,0.84894,0.7589,0.70833,0.76936,0.32931,1.98177,1.07776,1.16061,0.000180362,0.000180362,0.000180362
93,217.333,1.28798,0.5634,0.88212,0.7589,0.70833,0.76936,0.32931,1.98177,1.07776,1.16061,0.000164128,0.000164128,0.000164128
94,219.335,1.61697,0.63214,0.76393,0.7589,0.70833,0.76936,0.32931,1.98177,1.07776,1.16061,0.000147498,0.000147498,0.000147498
95,221.277,1.77256,0.65013,0.80511,0.7589,0.70833,0.76936,0.32931,1.98177,1.07776,1.16061,0.000130472,0.000130472,0.000130472
96,223.249,1.38598,0.60535,0.85295,0.71823,0.70804,0.7681,0.31953,2.03825,1.07825,1.18009,0.00011305,0.00011305,0.00011305
97,225.063,2.07456,0.68992,0.77876,0.71823,0.70804,0.7681,0.31953,2.03825,1.07825,1.18009,9.5232e-05,9.5232e-05,9.5232e-05
98,227.015,1.35232,0.5716,0.84314,0.71823,0.70804,0.7681,0.31953,2.03825,1.07825,1.18009,7.7018e-05,7.7018e-05,7.7018e-05
99,228.875,1.48346,0.60937,0.80866,0.71823,0.70804,0.7681,0.31953,2.03825,1.07825,1.18009,5.8408e-05,5.8408e-05,5.8408e-05
100,231.144,1.29538,0.58078,0.89237,0.69205,0.73611,0.74614,0.30374,2.08138,1.08732,1.19272,3.9402e-05,3.9402e-05,3.9402e-05
